Provincia de residencia,Causas (lista reducida),Sexo,Edad,Total,Tipo de causa,Enfermedad
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 40 a 44 años,6,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 45 a 49 años,16,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 50 a 54 años,27,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 55 a 59 años,29,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 60 a 64 años,49,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 65 a 69 años,61,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 70 a 74 años,86,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 75 a 79 años,146,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 80 a 84 años,222,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 85 a 89 años,251,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 90 a 94 años,226,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 95 años y más,95,Infecciosas,Infecciosas
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,Todas las edades,469,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,Menores de 1 año,2,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 15 a 29 años,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 30 a 39 años,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 45 a 49 años,3,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 50 a 54 años,5,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 55 a 59 años,3,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 60 a 64 años,11,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 65 a 69 años,18,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 70 a 74 años,26,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 75 a 79 años,48,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 80 a 84 años,106,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 85 a 89 años,102,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 90 a 94 años,101,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Ambos sexos,De 95 años y más,42,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,Todas las edades,262,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,Menores de 1 año,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 15 a 29 años,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 30 a 39 años,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 45 a 49 años,2,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 55 a 59 años,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 60 a 64 años,8,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 65 a 69 años,15,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 70 a 74 años,18,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 75 a 79 años,29,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 80 a 84 años,72,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 85 a 89 años,59,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 90 a 94 años,38,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Hombres,De 95 años y más,17,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,Todas las edades,207,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,Menores de 1 año,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 45 a 49 años,1,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 50 a 54 años,5,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 55 a 59 años,2,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 60 a 64 años,3,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 65 a 69 años,3,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 70 a 74 años,8,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 75 a 79 años,19,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 80 a 84 años,34,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 85 a 89 años,43,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 90 a 94 años,63,Infecciosas,COVID
Comunitat Valenciana,00A Covid-19 Virus identificado,Mujeres,De 95 años y más,25,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,Todas las edades,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,Menores de 1 año,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 45 a 49 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 55 a 59 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 60 a 64 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 65 a 69 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 70 a 74 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 75 a 79 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 80 a 84 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 85 a 89 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 90 a 94 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Ambos sexos,De 95 años y más,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,Todas las edades,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,Menores de 1 año,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 45 a 49 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 55 a 59 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 60 a 64 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 65 a 69 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 70 a 74 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 75 a 79 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 80 a 84 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 85 a 89 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 90 a 94 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Hombres,De 95 años y más,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,Todas las edades,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,Menores de 1 año,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 45 a 49 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 55 a 59 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 60 a 64 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 65 a 69 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 70 a 74 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 75 a 79 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 80 a 84 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 85 a 89 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 90 a 94 años,0,Infecciosas,COVID
Comunitat Valenciana,00B Covid-19 Virus no identificado (sospechoso),Mujeres,De 95 años y más,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,Todas las edades,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,Menores de 1 año,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 45 a 49 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 55 a 59 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 60 a 64 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 65 a 69 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 70 a 74 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 75 a 79 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 80 a 84 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 85 a 89 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 90 a 94 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Ambos sexos,De 95 años y más,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,Todas las edades,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,Menores de 1 año,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 45 a 49 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 55 a 59 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 60 a 64 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 65 a 69 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 70 a 74 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 75 a 79 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 80 a 84 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 85 a 89 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 90 a 94 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Hombres,De 95 años y más,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,Todas las edades,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,Menores de 1 año,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 1 a 14 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 15 a 29 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 30 a 39 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 40 a 44 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 45 a 49 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 50 a 54 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 55 a 59 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 60 a 64 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 65 a 69 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 70 a 74 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 75 a 79 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 80 a 84 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 85 a 89 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 90 a 94 años,0,Infecciosas,COVID
Comunitat Valenciana,"00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado",Mujeres,De 95 años y más,0,Infecciosas,COVID
Comunitat Valenciana,001 Enfermedades infecciosas intestinales,Ambos sexos,Todas las edades,118,Infecciosas,Infeccion intestinal
Comunitat Valenciana,001 Enfermedades infecciosas intestinales,Ambos sexos,Menores de 1 año,0,Infecciosas,Infeccion intestinal
Comunitat Valenciana,001 Enfermedades infecciosas intestinales,Ambos sexos,De 1 a 14 años,0,Infecciosas,Infeccion intestinal
Comunitat Valenciana,001 Enfermedades infecciosas intestinales,Ambos sexos,De 15 a 29 años,0,Infecciosas,Infeccion intestinal
Comunitat Valenciana,001 Enfermedades infecciosas intestinales,Ambos sexos,De 30 a 39 años,0,Infecciosas,Infeccion intestinal
Comunitat Valenciana,001 Enfermedades infecciosas intestinales,Ambos sexos,De 40 a 44 años,0,Infecciosas,Infeccion intestinal
